,phi1,phi2,dphi1,dphi2,ddphi1,ddphi2,rkStep
0.0,1.5707963267948966,0.0,0.0,0.0,-9.80665,6.004841266429195e-16,3.8490421828613645e-238
0.001,1.5707914234698965,1.2021298028256818e-11,-0.009806650000047155,4.808519211236838e-08,-9.80665000023578,0.00014425557633510497,2.0
0.002,1.570776713494896,1.9234076845045207e-10,-0.019613300001509012,3.8468153690607394e-07,-9.806650003772566,0.0005770223053883018,2.0
0.003,1.5707521968698908,9.737251403514223e-10,-0.02941995001145941,1.298300187259501e-06,-9.806650019099438,0.0012983001875946619,2.0
0.004,1.5707178735948644,3.0774522960747507e-09,-0.03922660004829193,3.077452297019691e-06,-9.806650060367282,0.0023080892246560617,2.0
0.005,1.5706737436697737,7.513311273042072e-09,-0.04903325014738341,6.010649022946358e-06,-9.806650147392439,0.003606389420993968,2.0
0.006,1.5706198070945299,1.5579602268344028e-08,-0.05883990036676181,1.0386401528412308e-05,-9.806650305661806,0.005193200785791916,2.0
0.007,1.5705560638689717,2.886313664814805e-08,-0.06864655079277993,1.6493220989427078e-05,-9.806650566339384,0.00706852333562986,2.0
0.008,1.5704825139928358,4.923923696454253e-08,-0.07845320154579641,2.4619618603591568e-05,-9.806650966274299,0.009232357097699363,2.0
0.009000000000000001,1.5703991574657183,7.887173698304575e-08,-0.08825985278586548,3.505410560256635e-05,-9.806651548010262,0.011684702113613004,2.0
0.01,1.5703059942870337,1.2021298172458626e-07,-0.09806650471843684,4.808519326864807e-05,-9.806652359796509,0.014425558443810917,2.0
0.011,1.5702030244559657,1.7600382752636006e-07,-0.10787315760006727,6.400139295604195e-05,-9.806653455600177,0.01745492617255263,2.0
0.012,1.5700902479714134,2.4927364212655894e-07,-0.11767981174414543,8.30912161174406e-05,-9.80665489512016,0.0207728054135416,2.0
0.013000000000000001,1.569967664831932,3.4334030477858776e-07,-0.12748646752663098,0.00010564317433651341,-9.806656743802398,0.02437919631611045,2.0
0.014,1.5698352750356668,4.6181020640096754e-07,-0.13729312539181,0.00013194577936690178,-9.806659072856645,0.028274099072061062,2.0
0.015,1.5696930785802823,6.08578249769758e-07,-0.14709978585806774,0.00016228754317835426,-9.806661959274697,0.032457513923097106,2.0
0.016,1.5695410754628851,7.878278497609308e-07,-0.15690644952368046,0.00019695697801060515,-9.806665485850058,0.03692944116887861,2.0
0.017,1.5693792656799415,1.0040309336507537e-06,-0.16671311707262748,0.00023624259643561976,-9.806669741199107,0.04168988117571789,2.0
0.018000000000000002,1.569207649227188,1.261947941482881e-06,-0.1765197892804253,0.00028043291142886755,-9.806674819783675,0.04673883438590565,2.0
0.019,1.5690262260995378,1.566627826511477e-06,-0.18632646701998495,0.0003298164364502201,-9.806680821935132,0.05207630132768126,2.0
0.02,1.56883499629098,1.9234080557303366e-06,-0.1961331512674942,0.0003846816855351594,-9.806687853879902,0.05770228262584124,2.0
0.021,1.5686339597944732,2.3379146104986262e-06,-0.20593984310832592,0.0004453171733969197,-9.806696027766465,0.06361677901303739,2.0
0.022,1.5684231166018334,2.8160619872745237e-06,-0.21574654374297425,0.0005120114155402551,-9.806705461693802,0.069819791341708,2.0
0.023,1.5682024667036167,3.364053198468717e-06,-0.2255532544930201,0.000585052928387491,-9.80671627974133,0.07631132059670515,2.0
0.024,1.5679720100889942,3.98837977343036e-06,-0.23535997680712692,0.0006647302294175292,-9.806728612000276,0.083091367908614,2.0
0.025,1.5677317467456222,4.6958217595788274e-06,-0.24516671226706893,0.0007513318373185286,-9.806742594606543,0.09015993456775728,2.0
0.026000000000000002,1.567481676659506,5.493447723695263e-06,-0.25497346259379283,0.0008451462721549355,-9.80675836977502,0.09751702203890268,2.0
0.027,1.5672217998148585,6.388614753388627e-06,-0.26478022965351455,0.0009464620555496004,-9.806776085835386,0.1051626319767156,2.0
0.028,1.5669521161939506,7.3889684587517295e-06,-0.27458701546385267,0.0010555677108816809,-9.80679589726936,0.11309676624190407,2.0
0.029,1.5666726257769574,8.502442974223323e-06,-0.2843938221999994,0.0011727517635010903,-9.806817964749449,0.12131942691814858,2.0
0.03,1.5663833285417976,9.737260960673264e-06,-0.2942006522009317,0.001298302740960223,-9.80684245517913,0.12983061632975051,2.0
0.031,1.5660842244639663,1.110193360772836e-05,-0.3040075079756628,0.00143250917326374,-9.806869541734555,0.13863033706006778,2.0
0.032,1.565775313516362,1.2605260636357312e-05,-0.3138143922095361,0.0015756595931371612,-9.806899403907693,0.14771859197073167,2.0
0.033,1.5654565956691069,1.425633030173402e-05,-0.3236213077705637,0.0017280425363150765,-9.806932227550952,0.15709538422165129,2.0
0.034,1.5651280708893616,1.6064519396399233e-05,-0.33342825771580936,0.0018899465418497645,-9.806968204923317,0.16676071729183686,2.0
0.035,1.5647897391411318,1.8039493253741354e-05,-0.34323524529781885,0.0020616601524410523,-9.807007534737904,0.1767145950010458,2.0
0.036000000000000004,1.564441600385071,2.0191205751818073e-05,-0.35304227397109855,0.002243471914788229,-9.807050422211066,0.18695702153226174,2.0
0.037,1.564083654578274,2.2529899317541295e-05,-0.3628493473986438,0.0024356703799648686,-9.80709707911292,0.197488001455045,2.0
0.038,1.5637159016740654,2.5066104931248756e-05,-0.37265646945851855,0.00263854410381745,-9.8071477238194,0.20830753974974586,2.0
0.039,1.563338341621782,2.7810642131686382e-05,-0.38246364425048796,0.0028523816473886173,-9.807202581365782,0.21941564183260331,2.0
0.04,1.562950974366547,3.077461902142677e-05,-0.3922708761027048,0.003077471577366001,-9.807261883501697,0.23081231358176926,2.0
0.041,1.5625537998490382,3.396943227274956e-05,-0.40207816957845216,0.003314102466557521,-9.807325868747641,0.24249756136424255,2.0
0.042,1.56214681800525,3.740676713401073e-05,-0.4118855294829433,0.0035625628943940987,-9.807394782452972,0.25447139206374025,2.0
0.043000000000000003,1.5617300287662477,4.1098597436528775e-05,-0.42169296087017993,0.0038231414474607195,-9.807468876855397,0.2667338131095642,2.0
0.044,1.561303432057915,4.5057185602016414e-05,-0.4315004690498709,0.004096126720056834,-9.80754841114198,0.27928483250640945,2.0
0.045,1.560867027800696,4.9295082650588e-05,-0.44130805959441294,0.004381807314787099,-9.807633651511622,0.2921244588651995,2.0
0.046,1.5604208159093271,5.382512820937291e-05,-0.4511157383459341,0.004680471843183433,-9.807724871239062,0.3052527014349432,2.0
0.047,1.5599647962925653,5.86604505217674e-05,-0.4609235114234023,0.004992408926359463,-9.807822350740373,0.31866957013561575,2.0
0.048,1.5594989688529073,6.381446645735741e-05,-0.4707313852298001,0.00531790719569839,-9.807926377639973,0.33237507559212864,2.0
0.049,1.5590233334863013,6.930088152254637e-05,-0.4805393664593672,0.005657255293575343,-9.808037246839142,0.3463692291693698,2.0
0.05,1.5585378900818532,7.513368987192312e-05,-0.4903474621049119,0.006010741874115344,-9.80815526058605,0.3606520430083554,2.0
0.051000000000000004,1.5580426385215234,8.132717432040604e-05,-0.5001556794651942,0.006378655603987983,-9.80828072854732,0.37522353006351505,2.0
0.052000000000000005,1.5575375786798173,8.789590635620063e-05,-0.50996402615238,0.006761285163239962,-9.808413967881076,0.39008370414113813,2.0
0.053,1.5570227104234688,9.485474615460911e-05,-0.5197725100995703,0.007158919246166642,-9.808555303311547,0.40523257993897893,2.0
0.054,1.5564980336111147,0.00010221884259273176,-0.529581139568405,0.007571846562223851,-9.808705067205189,0.42067017308708976,2.0
0.055,1.5559635480929628,0.00011000363326510013,-0.5393899231567438,0.00800035583698107,-9.808863599648319,0.43639650018985937,2.0
0.056,1.5554192537104514,0.00011822484450028535,-0.5491988698064257,0.008444735813117336,-9.80903124852631,0.4524115788693253,2.0
0.057,1.5548651502959023,0.0001268984913785237,-0.559007988811108,0.008905275251461063,-9.809208369604296,0.46871542780974446,2.0
0.058,1.5543012376721639,0.00013604087775040473,-0.5688172898241873,0.009382262932075098,-9.809395326609451,0.4853080668034853,2.0
0.059000000000000004,1.5537275156522483,0.00014566859625666766,-0.5786267828668034,0.00987598765538833,-9.809592491314774,0.5021895167982376,2.0
0.06,1.5531439840389591,0.0001557985283491529,-0.588436478335927,0.010386738243375179,-9.80980024362446,0.5193597999456013,2.0
0.061,1.5525506426245117,0.00016644784431295824,-0.5982463870125355,0.010914803540784387,-9.810018971660794,0.5368189396510409,2.0
0.062,1.551947491190145,0.00017763400328984802,-0.6080565200698739,0.011460472416418437,-9.810249071852635,0.5545669606252698,2.0
0.063,1.551334529505725,0.00018937475330296866,-0.6178668890818069,0.012024033764465097,-9.81049094902543,0.572603888937074,2.0
0.064,1.5507117573293403,0.00020168813128292181,-0.6276775060312609,0.012605776505882517,-9.81074501649283,0.5909297520676051,2.0
0.065,1.550079174406888,0.0002145924630952502,-0.6374883833187593,0.01320598958983938,-9.811011696149837,0.609544578966193,2.0
0.066,1.5494367804716527,0.0002281063635693918,-0.6472995337710501,0.0138249619952116,-9.811291418567578,0.6284484001076753,2.0
0.067,1.5487845752438754,0.0002422487365291594,-0.6571109706498307,0.014462982732137168,-9.81158462308962,0.6476412475512935,2.0
0.068,1.548122558430314,0.000257038774824805,-0.6669227076605692,0.015120340843630651,-9.811891757929905,0.6671231550011998,2.0
0.069,1.5474507297237958,0.00027249596036672927,-0.6767347589614238,0.015797325407259047,-9.812213280272248,0.6868941578685757,2.0
0.07,1.5467690888027597,0.00028864006416089773,-0.686547139172264,0.016494225536880555,-9.812549656371473,0.7069542933354206,2.0
0.07100000000000001,1.5460776353307897,0.00030549114634602847,-0.6963598633837921,0.017211330384447998,-9.812901361656118,0.7273036004200385,2.0
0.07200000000000001,1.5453763689561404,0.000323069556232616,-0.7061729471667693,0.017948929141878577,-9.813268880832785,0.7479421200442313,2.0
0.073,1.5446652893112511,0.0003413959323438585,-0.7159864065813463,0.018707311042991705,-9.813652707992087,0.7688698951022841,2.0
0.074,1.543944396012253,0.000360491202458559,-0.7258002581865016,0.019486765365516752,-9.814053346716229,0.7900869705317128,2.0
0.075,1.5432136886584644,0.00038037658365606746,-0.7356145190495869,0.020287581433172372,-9.814471310188228,0.8115933933858723,2.0
0.076,1.5424731668318785,0.0004010735823633414,-0.7454292067559831,0.02111004861781944,-9.814907121302756,0.8333892129084124,2.0
0.077,1.5417228300966397,0.00042260399440419556,-0.755244339418869,0.021954456341689375,-9.815361312778652,0.8554744806096404,2.0
0.078,1.540962677998511,0.0004449899050508187,-0.7650599356891016,0.022821094079689765,-9.815834427273076,0.8778492503448299,2.0
0.079,1.5401927100643322,0.0004682536890776358,-0.7748760147652122,0.023710251361789333,-9.816327017497326,0.9005135783944922,2.0
0.08,1.5394129258014662,0.0004924180108175951,-0.7846925964035195,0.024622217775484127,-9.816839646334321,0.9234675235466674,2.0
0.081,1.538623324697236,0.0005175058242209634,-0.7945097009283606,0.025557282968347056,-9.817372886957786,0.9467111471812776,2.0
0.082,1.5378239062183527,0.0005435403729167133,-0.804327349242442,0.026515736650662827,-9.817927322953096,0.9702445133565533,2.0
0.083,1.5370146698103309,0.0005705451902765882,-0.8141455628373122,0.027497868598150337,-9.818503548439839,0.9940676888975976,2.0
0.084,1.5361956148968943,0.0005985440994819358,-0.8239643638039583,0.028503968654774735,-9.819102168196064,1.0181807434871262,2.0
0.085,1.535366740879372,0.0006275612135933981,-0.8337837748435271,0.02953432673565133,-9.819723797784269,1.0425837497583987,2.0
0.08600000000000001,1.5345280471360825,0.0006576209356235523,-0.8436038192781731,0.03058923283004353,-9.820369063679093,1.0672767833904246,2.0
0.08700000000000001,1.5336795330217066,0.0006887479586125988,-0.8534245210620355,0.031668977004457144,-9.821038603396751,1.0922599232054335,2.0
0.088,1.5328211978666504,0.0007209672657071903,-0.8632459047923449,0.032773849405833305,-9.821733065626205,1.1175332512687006,2.0
0.089,1.5319530409763966,0.0007543041302425081,-0.8730679957206628,0.03390414026484247,-9.82245311036212,1.1430968529907428,2.0
0.09,1.5310750616308448,0.0007887841158276785,-0.8828908197642543,0.03506013989928165,-9.823199409039548,1.168950817231917,2.0
0.091,1.5301872590836392,0.0008244330764346435,-0.8927144035175962,0.036242138717577706,-9.823972644670402,1.195095236409507,2.0
0.092,1.5292896325614864,0.0008612771564905873,-0.9025387742640235,0.037450427222398754,-9.824773511981745,1.2215302066072877,2.0
0.093,1.5283821812634601,0.0008993427909740291,-0.912363959987514,0.03868529601437656,-9.825602717555833,1.2482558276876645,2.0
0.094,1.527464904360295,0.0009386567055146951,-0.9221899893846143,0.03994703579594231,-9.826460979972019,1.27527220340639,2.0
0.095,1.5265378009936676,0.000979245916497284,-0.9320168918765089,0.04123593737527839,-9.827349029950442,1.3025794415299239,2.0
0.096,1.5256008702754662,0.0010211377311692435,-0.9418446976212334,0.04255229167038892,-9.828267610497578,1.330177653955488,2.0
0.097,1.524654111287047,0.001064359747752678,-0.951673437526034,0.04389638971329165,-9.829217477053641,1.3580669568338364,2.0
0.098,1.5236975230784797,0.0011089398555605096,-0.9615031432598765,0.045268522654334065,-9.830199397641836,1.3862474706948278,2.0
0.099,1.5227311046677785,0.0011549062351170183,-0.9713338472661043,0.046668981766636426,-9.8312141530195,1.4147193205757953,2.0
0.1,1.521754855040122,0.001202287358282891,-0.9811655827752486,0.048098058450664644,-9.832262536831141,1.443482636152819,2.0
0.101,1.5207687731470592,0.001251111988384908,-0.9909983838179934,0.049556044238935865,-9.833345355763372,1.472537551874909,2.0
0.10200000000000001,1.5197728579057026,0.0013014091803504042,-1.0008322852382956,0.051043230800859735,-9.834463429701772,1.501884207101151,2.0
