,phi1,phi2,dphi1,dphi2,ddphi1,ddphi2,rkStep
0.0,1.5707963267948966,0.0,-0.34896849579810096,1.053721317536946,-15.214941085502309,5.248735268233096,8.37340148392e-312
0.001,1.570446270087722,0.0010545058536225497,-0.3511479588207584,1.0552925054293276,-15.211554716952158,5.24271654522197,3.0
0.002,1.5700940247653568,0.002110589266187439,-0.35334575759354936,1.056876459348342,-15.208138075632663,5.236670868098237,3.0
0.003,1.5697395723975283,0.0031682630757032884,-0.35556208144168616,1.0584733234600903,-15.204690872488712,5.230597965091525,3.0
0.004,1.5693828943637966,0.004227540264952631,-0.3577971213762039,1.060083243147731,-15.201212815679842,5.2244975618471345,2.0
0.005,1.569023971851863,0.00528843396271328,-0.36005107010577686,1.0617063650201026,-15.197703610557554,5.218369381406479,2.0
0.006,1.5686627858558664,0.006350957444988316,-0.3623241220485374,1.0633428369203413,-15.194162959642549,5.212213144187478,2.0
0.007,1.5682993171746678,0.007415124136244693,-0.36461647334389347,1.0649928079344886,-15.190590562601846,5.206028567964878,2.0
0.008,1.567933546410123,0.008480947610660445,-0.36692832186434376,1.0666564284000948,-15.186986116225814,5.199815367850527,2.0
0.009000000000000001,1.5675654539653443,0.00954844159338049,-0.3692598672272878,1.0683338499148083,-15.183349314405085,5.1935732562735835,2.0
0.01,1.5671950200429492,0.010617619961781014,-0.3716113108068291,1.0700252253449545,-15.17967984810738,5.187301942960679,2.0
0.011,1.5668222246432975,0.011688496746742442,-0.3739828557455664,1.0717307088340966,-15.175977405354258,5.181001134916022,2.0
0.012,1.5664470475627172,0.012761086133930942,-0.3763747069663749,1.0734504558115858,-15.172241671197737,5.174670536401459,2.0
0.013000000000000001,1.5660694683917191,0.013835402465088478,-0.37878707118416954,1.0751846230010873,-15.16847232769686,5.1683098489164925,2.0
0.014,1.5656894665131973,0.01491146023933138,-0.3812201569176521,1.0769333684290878,-15.164669053894132,5.1619187711782475,2.0
0.015,1.5653070211006208,0.015989274114457417,-0.3836741745010368,1.0786968514333797,-15.160831525791913,5.155496999101399,2.0
0.016,1.564922111116212,0.01706885890826133,-0.3861493360957521,1.08047523267152,-15.156959416328695,5.149044225778071,2.0
0.017,1.5645347153091127,0.01815022959985881,-0.3886458557021158,1.082268674129263,-15.153052395355305,5.142560141457678,2.0
0.018000000000000002,1.5641448122135408,0.019233401331018897,-0.39116394917098113,1.0840773391289593,-15.14911012961103,5.136044433526768,2.0
0.019,1.563752380146933,0.02031838940750478,-0.39370383421534944,1.0859013923379257,-15.14513228269966,5.129496786488802,2.0
0.02,1.563357397208077,0.021405209300422914,-0.3962657304219475,1.0877409997767795,-15.14111851506546,5.122916881943927,2.0
0.021,1.5629598412752321,0.022493876647580485,-0.3988498592627651,1.0895963288277357,-15.137068483969069,5.116304398568722,2.0
0.022,1.5625596900042384,0.023584407254851128,-0.40145644410655046,1.0914675482428609,-15.132981843463318,5.109659012095927,2.0
0.023,1.5621569208266137,0.024676817097548903,-0.40408571023026024,1.0933548281522896,-15.128858244368985,5.102980395294143,2.0
0.024,1.5617515109476405,0.02577112232181044,-0.40673788483045936,1.0952583400723914,-15.1246973342505,5.096268217947536,2.0
0.025,1.5613434373444397,0.02686733924598524,-0.4094131970346683,1.0971782569138906,-15.120498757391559,5.08952214683552,2.0
0.026000000000000002,1.5609326767640348,0.027965484362034068,-0.41211187791265363,1.0991147529899352,-15.116262154770698,5.082741845712445,2.0
0.027,1.5605192057214037,0.029065574336935393,-0.414834160487659,1.1010680040241116,-15.111987164036815,5.075926975287266,2.0
0.028,1.5601030004975196,0.030167626014099815,-0.4175802797475702,1.103038187158402,-15.10767341948462,5.069077193203231,2.0
0.029,1.559684037137381,0.0312716564147924,-0.4203504726560143,1.105025480961081,-15.103320552030047,5.062192154017567,2.0
0.03,1.55926229144803,0.03237768273956289,-0.4231449781633842,1.1070300654345504,-15.098928189185614,5.055271509181172,2.0
0.031,1.5588377389965609,0.03348572236968375,-0.4259640372177898,1.109052122023106,-15.09449595503575,5.048314907018336,2.0
0.032,1.5584103551081157,0.0345957928685959,-0.42880789277592574,1.1110918336206341,-15.09002347021206,5.041321992706458,2.0
0.033,1.5579801148638717,0.0357079119833621,-0.43167678981385693,1.1131493845782379,-15.085510351868589,5.034292408255807,2.0
0.034,1.5575469930990153,0.036822097646127996,-0.43457097533771294,1.115224960711782,-15.080956213657007,5.0272257924892925,2.0
0.035,1.5571109644007082,0.037938367975590574,-0.43749069839429044,1.1173187493093617,-15.076360665701808,5.020121781022285,2.0
0.036000000000000004,1.5566720031060395,0.03905674127847412,-0.44043621008155553,1.1194309391386847,-15.07172331457546,5.012980006242457,2.0
0.037,1.5562300832999714,0.040177236051013455,-0.44340776355904526,1.1215617204543686,-15.06704376327353,5.005800097289667,2.0
0.038,1.5557851788132708,0.04129987098044453,-0.44640561405815915,1.1237112850051438,-15.062321611189821,4.998581680035903,2.0
0.039,1.5553372632204334,0.042424664946501996,-0.4494300188923401,1.1258798260409637,-15.057556454091463,4.991324377065261,2.0
0.04,1.554886309837596,0.04355163702292403,-0.45248123746713587,1.1280675383200143,-15.052747884094009,4.984027807653991,2.0
0.041,1.5544322917204398,0.04468080647896397,-0.4555595312901389,1.1302746181156231,-15.047895489636534,4.976691587750596,2.0
0.042,1.5539751816620835,0.0458121927809089,-0.4586651639807972,1.1325012632230562,-15.042998855456725,4.969315329956012,2.0
0.043000000000000003,1.5535149521909657,0.04694581559360493,-0.46179840128009275,1.1347476729662098,-15.038057562565978,4.961898643503833,2.0
0.044,1.55305157556872,0.04808169478198912,-0.4649595110600801,1.1370140482041824,-15.033071188224511,4.954441134240656,2.0
0.045,1.5525850237880383,0.04921985041262795,-0.46814876333328115,1.139300591337727,-15.028039305916485,4.946942404606469,2.0
0.046,1.5521152685705257,0.05036030275526208,-0.4713664302619292,1.1416075063155815,-15.022961485325139,4.939402053615153,2.0
0.047,1.5516422813645465,0.05150307228435752,-0.47461278616705765,1.143934998640666,-15.017837292307972,4.931819676835076,2.0
0.048,1.5511660333430608,0.052648179680662814,-0.4778881075374263,1.1462832753761516,-15.012666288871936,4.924194866369782,2.0
0.049,1.5506864954014525,0.05379564583277228,-0.48119267303827945,1.1486525451513867,-15.007448033148666,4.916527210838802,2.0
0.05,1.5502036381553483,0.054945491838695085,-0.4845267635199311,1.1510430181676814,-15.00218207936977,4.9088162953585615,2.0
0.051000000000000004,1.5497174319384288,0.05609773900743004,-0.487890662026168,1.1534549062039448,-14.996867977842134,4.901061701523434,2.0
0.052000000000000005,1.5492278468002305,0.05725240886054598,-0.4912846538024665,1.1558884226221682,-14.991505274923322,4.893263007386897,2.0
0.053,1.5487348525039402,0.05840952313376745,-0.49470902630401675,1.15834378237275,-14.98609351299698,4.885419787442842,2.0
0.054,1.5482384185241813,0.05956910377856582,-0.4981640692035453,1.1608212019996587,-14.980632230448373,4.8775316126070285,2.0
0.055,1.5477385140447926,0.06073117296375524,-0.5016500743989319,1.1633208996454243,-14.975120961639917,4.869598050198662,2.0
0.056,1.5472351079565996,0.061895753077093725,-0.5051673360206116,1.1658430950559582,-14.969559236886868,4.861618663922172,2.0
0.057,1.5467281688551775,0.06306286672688881,-0.5087161504387561,1.168388009585192,-14.963946582433024,4.85359301384911,2.0
0.058,1.5462176650386092,0.06423253674360785,-0.512296816270227,1.1709558661995318,-14.958282520426573,4.845520656400257,2.0
0.059000000000000004,1.5457035645052344,0.06540478618149262,-0.5159096343852934,1.1735468894821217,-14.952566568895998,4.837401144327881,2.0
0.06,1.5451858349513927,0.0665796383201781,-0.5195549079141055,1.1761613056369076,-14.946798241726103,4.829234026698211,2.0
0.061,1.5446644437691615,0.06775711666631527,-0.5232329422529196,1.1787993424925014,-14.940977048634167,4.821018848874081,2.0
0.062,1.544139358044086,0.06893724495519755,-0.5269440450700613,1.181461229505836,-14.93510249514619,4.812755152497801,2.0
0.063,1.5436105445529051,0.07012004715239092,-0.530688526311625,1.184147197765603,-14.929174082573272,4.804442475474224,2.0
0.064,1.5430779697612702,0.07130554745536727,-0.5344666982068982,1.1868574799954708,-14.923191307988153,4.796080351954054,2.0
0.065,1.5425415998214598,0.07249377029514088,-0.5382788752735009,1.189592310557075,-14.917153664201843,4.7876683123173605,2.0
0.066,1.5420014005700882,0.07368474033790785,-0.5421253743222377,1.1923519254527712,-14.91106063974045,4.779205883157353,2.0
