,phi1,phi2,dphi1,dphi2,ddphi1,ddphi2,rkStep
0.0,1.5707963267948966,0.0,2.373482806924699e-10,-1.926696782553662e-12,-8.397113669319538,-2.0943116833394697,1.1154654613547682e-239
0.001,1.570792132988232,-1.0530933312240967e-06,-0.008382932276964095,-0.002112023021956119,-8.369025742580769,-2.1293301442478576,3.0
0.002,1.570779570019107,-4.235315432032664e-06,-0.016738598116532274,-0.004257854792078738,-8.342578411814142,-2.161932111360684,3.0
0.003,1.570758664335814,-9.579269735106962e-06,-0.025068632123563958,-0.00643508760851258,-8.317760139700571,-2.192135171563657,3.0
0.004,1.5707294407576011,-1.711516077001693e-05,-0.033374657513315954,-0.008641331376654638,-8.294559209394379,-2.21995695803401,3.0
0.005,1.5706919224863904,-2.6870811797334926e-05,-0.04165828569377334,-0.010874213662424458,-8.272963722932028,-2.2454151602791987,3.0
0.006,1.570646131118675,-3.887168249886989e-05,-0.04992111608373859,-0.013131379753434164,-8.252961599649417,-2.268527533738204,3.0
0.007,1.5705920866576002,-5.3140886733942014e-05,-0.05816473592934099,-0.015410492729540214,-8.234540574598075,-2.2893119089597427,3.0
0.008,1.5705298075252287,-6.96992103705895e-05,-0.06639072011895583,-0.0177092335423809,-8.217688196954803,-2.307786200387122,3.0
0.009000000000000001,1.5704593105749913,-8.856512920078718e-05,-0.07460063099653096,-0.020025301103498625,-8.202391828417385,-2.3239684147574273,3.0
0.01,1.5703806111043257,-0.00010975482694777464,-0.0827960181733038,-0.02235641238067697,-8.188638641600928,-2.3378766591203375,3.0
0.011,1.5702937228675031,-0.00013328221337382073,-0.09097841833790497,-0.024700302502119992,-8.17641561840065,-2.3495291485184633,3.0
0.012,1.5701986580886478,-0.0001591589424958123,-0.09914935506482064,-0.027054724868134896,-8.16570954835977,-2.3589442133081273,3.0
0.013000000000000001,1.5700954274749468,-0.00018739443091622966,-0.10731033862120791,-0.029417451269974696,-8.156507026997824,-2.366140306164174,3.0
0.014,1.569984040230055,-0.00021799587627640234,-0.11546286577203607,-0.03178627201552143,-8.148794454137821,-2.3711360087586244,3.0
0.015,1.5698645040676948,-0.0002509682758386206,-0.12360841958354013,-0.03415899606149798,-8.142558032203146,-2.3739500381376777,3.0
0.016,1.5697368252254547,-0.00028631444520380863,-0.13174846922496586,-0.036533451151905254,-8.137783764504741,-2.3746012528011815,3.0
0.017,1.5696010084787853,-0.00032403503717039434,-0.13988446976858787,-0.03890748396239919,-8.13445745349845,-2.373108658502465,3.0
0.018000000000000002,1.5694570571551976,-0.0003641285607406159,-0.1480178619879827,-0.04127896025032492,-8.132564699038467,-2.369491413764704,3.0
0.019,1.5693049731486632,-0.00040659140027942824,-0.15615007215454257,-0.04364576501013893,-8.132090896606263,-2.36376883514102,3.0
0.02,1.569144756934219,-0.00045141783483147686,-0.16428251183221293,-0.046005802633957066,-8.133021235528327,-2.3559604022101626,3.0
0.021,1.5689764075827772,-0.0004986000576010938,-0.17241657767044172,-0.048356997076977284,-8.135340697184215,-2.346085762329046,3.0
0.022,1.5687999227761456,-0.0005481281956000297,-0.18055365119533293,-0.05069729202753247,-8.139034053204844,-2.33416473514025,3.0
0.023,1.5686152988222544,-0.0005999903294674095,-0.18869509859899364,-0.053024651081532516,-8.144085863666906,-2.3202173168495985,3.0
0.024,1.5684225306705977,-0.000654172513466347,-0.19684227052707715,-0.05533705792106917,-8.15048047528203,-2.3042636842728297,3.0
0.025,1.5682216119278862,-0.0007106587956610058,-0.2049965018645147,-0.05763251649696147,-8.158202019594217,-2.2863241986673826,3.0
0.026000000000000002,1.5680125348739162,-0.0007694312382782226,-0.21315911151944505,-0.059909051215019694,-8.167234411175992,-2.2664194093446475,3.0
0.027,1.5677952904776546,-0.0008304699382570423,-0.22133140220535066,-0.062164707125820964,-8.177561345844536,-2.2445700570767895,3.0
0.028,1.567569868413544,-0.0008937530479898104,-0.22951466022141156,-0.06439755011778871,-8.189166298884706,-2.220797077299147,3.0
0.029,1.5673362570780265,-0.0009592567962578478,-0.23771015523109693,-0.0666056671133718,-8.202032523298321,-2.1951216031162875,3.0
0.03,1.5670944436062924,-0.0010269555093647279,-0.24591914003901516,-0.06878716626813758,-8.216143048079891,-2.167564968109416,3.0
0.031,1.5668444138892497,-0.0010968216324701886,-0.254142850366058,-0.07094017717257363,-8.231480676521116,-2.1381487089592297,3.0
0.032,1.566586152590722,-0.0011688257511268977,-0.26238250462286805,-0.07306285105641863,-8.248027984557474,-2.106894567879296,3.0
0.033,1.5663196431648727,-0.001242936613022946,-0.27063930368167183,-0.07515336099533604,-8.265767319160291,-2.073824494865152,3.0
0.034,1.566044867873857,-0.001319121149931958,-0.27891443064653143,-0.07720990211974937,-8.284680796773111,-2.0389606497700075,3.0
0.035,1.565761807805707,-0.0013973444998731366,-0.28720905062206364,-0.07923069182565863,-8.304750301816478,-2.0023254041960774,3.0
0.036000000000000004,1.5654704428924466,-0.0014775700294829862,-0.29552431048069117,-0.08121396998726486,-8.325957485248892,-1.9639413432162893,3.0
