,phi1,phi2,dphi1,dphi2,ddphi1,ddphi2,rkStep
0.0,1.5707963267948966,0.0,0.0,0.0,-9.807114920235518,6.00436720835586e-16,6.035569407625e-312
0.001,1.5707914231871147,1.2022273114209633e-11,-0.009807215563875126,4.808909245616118e-08,-9.807114920471356,0.00014427045405397465,2.0
0.002,1.5707767123637686,1.9235636981707703e-10,-0.019614431129165322,3.8471273962708553e-07,-9.807114924009024,0.0005770818161908957,2.0
0.003,1.5707521943248537,9.738041221922477e-10,-0.02942164670294626,1.2984054962874279e-06,-9.807114939339705,0.0012984340866468893,2.0
0.004,1.5707178690703538,3.0777019173526913e-09,-0.03922886230361628,3.077701917906356e-06,-9.807114980617813,0.002308327266770864,2.0
0.005,1.570673736600226,7.513920698915106e-09,-0.04903607796656138,6.011136562450319e-06,-9.80711506766461,0.0036067613605039925,2.0
0.006,1.570619796914381,1.5580865971107345e-08,-0.05884329374982454,1.0387243993945022e-05,-9.807115225973334,0.0051937363764121055,2.0
0.007,1.5705560500126579,2.8865477807555108e-08,-0.06865050973978093,1.6494558788369066e-05,-9.807115486715729,0.007069252330318891,2.0
0.008,1.570482495894793,4.9243230867373755e-08,-0.07845772605682035,2.462161554246619e-05,-9.807115886750077,0.009233309248526698,2.0
0.009000000000000001,1.5703991345603825,7.887813442178494e-08,-0.08826494286103845,3.5056948886087926e-05,-9.807116468630676,0.0116859071716296,2.0
0.01,1.5703059660088405,1.2022273239507968e-07,-0.09807216035793809,4.808909349863387e-05,-9.80711728061874,0.014427046158912955,2.0
0.011,1.5702029902393508,1.7601810342431984e-07,-0.10787937880414251,6.400658413019449e-05,-9.807118376694818,0.017456726293360262,2.0
0.012,1.570090207250812,2.492938609427874e-07,-0.11768659851312144,8.309795562800209e-05,-9.807119816572632,0.020774947687264605,2.0
0.013000000000000001,1.5699676170417791,3.433681532927903e-07,-0.1274938198609318,0.00010565174296879225,-9.807121665714373,0.024381710488431598,2.0
0.014,1.5698352196103966,4.6184766387403304e-07,-0.13730104329197468,0.00013195648129767958,-9.807123995347478,0.028277014887013396,2.0
0.015,1.5696930149543287,6.086276113343853e-07,-0.14710826932476945,0.0001623007059741751,-9.807126882482846,0.0324608611229397,2.0
0.016,1.5695410030706813,7.878917498104811e-07,-0.15691549855774706,0.0001969729526259338,-9.807130409934533,0.03693324949398648,2.0
0.017,1.5693791839559195,1.0041123692262096e-06,-0.16672273167506377,0.00023626175721090211,-9.807134666340893,0.041694180364477224,2.0
0.018000000000000002,1.569207557605779,1.26205029565781e-06,-0.1765299694524366,0.00028045565608847254,-9.807139746187184,0.04674365417459767,2.0
0.019,1.5690261240151713,1.5667548917748765e-06,-0.18633721276300225,0.000329843186100273,-9.807145749829644,0.05208167145038279,2.0
0.02,1.568834883178084,1.9235640573672693e-06,-0.1961444625832009,0.0003847128846612754,-9.807152783521024,0.05770823281432719,2.0
0.021,1.5686338350874742,2.3381042299685336e-06,-0.20595171999868583,0.00044535328986184124,-9.807160959437578,0.06362333899668121,2.0
0.022,1.5684229797351559,2.81629038558713e-06,-0.2157589862102615,0.0005120529405813876,-9.807170395707528,0.06982699084739526,2.0
