,phi1,phi2,dphi1,dphi2,ddphi1,ddphi2,rkStep
0.0,1.5707963267948966,0.0,0.0,0.0,-9.806661440002435,6.004872418273206e-16,1.279961010886e-311
0.001,1.5707914234532399,1.202148114387155e-11,-0.009806683313228638,4.8085924575553455e-08,-9.806661440238212,0.00014425663176284885,2.0
0.002,1.5707767134282695,1.923436983039586e-10,-0.019613366627871973,3.8468739661509205e-07,-9.806661443774981,0.0005770265271066735,2.0
0.003,1.5707521967199813,9.737399727475243e-10,-0.029420049951003828,1.298319963802319e-06,-9.806661459101782,0.0012983096865039762,2.0
0.004,1.5707178733283587,3.077499173826381e-09,-0.03922673330101774,3.0774991748344168e-06,-9.806661500369428,0.0023081061117132076,2.0
0.005,1.5706737432533586,7.51342572085551e-09,-0.049033416713290444,6.010740581397181e-06,-9.806661587394172,0.003606415807235904,2.0
0.006,1.5706198064948922,1.557983958778675e-08,-0.05884010024584977,1.0386559741871299e-05,-9.806661745662785,0.005193238782361343,2.0
0.007,1.5705560630527984,2.8863576312712755e-08,-0.0686467839850483,1.6493472227397027e-05,-9.806662006339122,0.007068575053794338,2.0
0.008,1.5704825129268134,4.9239987014846054e-08,-0.07845346805124435,2.4619993630841278e-05,-9.806662406272133,0.009232424648874797,2.0
0.009000000000000001,1.570399156116534,7.88729384221735e-08,-0.08826015260449177,3.505463957929398e-05,-9.806662988005332,0.011684787609389282,2.0
0.01,1.5703059926213743,1.202148129136114e-07,-0.09806683785023973,4.808592575066251e-05,-9.806663799787724,0.014425663995973186,2.0
0.011,1.570203022440518,1.760065085800555e-07,-0.10787352404504438,6.400236789497028e-05,-9.806664895586197,0.017455053893106913,2.0
0.012,1.570090245572864,2.492774393093312e-07,-0.11768021150229359,8.30924818609627e-05,-9.806666335099358,0.020772957414736046,2.0
0.013000000000000001,1.5699676620169678,3.4334553490065443e-07,-0.1274869005979461,0.00010564478362861902,-9.806668183772842,0.024379374710456578,2.0
0.014,1.5698352717709747,4.618172412148047e-07,-0.13729359177628683,0.00013194778934816332,-9.806670512816082,0.028274305972357146,2.0
0.015,1.569693074832549,6.08587520366829e-07,-0.14710028555569982,0.00016229001538622684,-9.806673399220506,0.03245775144245373,2.0
0.016,1.5695410711987978,7.878398509687303e-07,-0.15690698253445984,0.00019695997837975213,-9.806676925779243,0.03692971142073554,2.0
0.017,1.5693792608661867,1.0040462284301894e-06,-0.16671368339654455,0.0002362461952982642,-9.806681181108264,0.041690186273878216,2.0
0.018000000000000002,1.5692076438304527,1.2619671653260149e-06,-0.1765203889174685,0.0002804371835151571,-9.80668625966897,0.046739176444550494,2.0
0.019,1.569026220086509,1.5666516918396449e-06,-0.18632709997014063,0.0003298214608886266,-9.806692261792273,0.052076682461386505,2.0
0.02,1.5688349896283444,1.9234373562926804e-06,-0.1961338175307464,0.0003846875458528905,-9.806699293704122,0.057702704949616046,2.0
0.021,1.5686339524489177,2.33795022577105e-06,-0.20594054268465609,0.0004453239575203685,-9.806707467552492,0.0636172446423366,2.0
0.022,1.568423108540045,2.8161048868591076e-06,-0.21574727663236093,0.0005120192157954624,-9.80671690143584,0.06982030239245324,2.0
0.023,1.5682024578922824,3.364104446493608e-06,-0.22555402069543876,0.000585061841500632,-9.806727719433033,0.07631187918531883,2.0
0.024,1.567972000494801,3.9884405329501625e-06,-0.23536077632254956,0.0006647403565154329,-9.806740051634728,0.08309197615202743,2.0
0.025,1.567731736335257,4.695893296975523e-06,-0.24516754509546393,0.0007513432839292079,-9.806754034176233,0.09016059458344243,2.0
0.026000000000000002,1.5674816653996562,5.493531413079671e-06,-0.2549743287351246,0.0008451591482081531,-9.80676980927183,0.09751773594489764,2.0
0.027,1.5672217876722108,6.38871208100245e-06,-0.26478112910774326,0.0009464764753774514,-9.806787525250552,0.10516340189163677,2.0
0.028,1.566952103135192,7.3890810273701805e-06,-0.2745879482309338,0.001055583793219205,-9.806807336593476,0.11309759428498238,2.0
0.029,1.5666726117687755,8.502572507558392e-06,-0.28439478827988357,0.0011727696314869048,-9.806829403972419,0.12132031520923961,2.0
0.03,1.5663833135508793,9.737409307777621e-06,-0.2942016515935644,0.0012983225221371824,-9.806853894290176,0.12983156698936182,2.0
0.031,1.566084208456999,1.1102102747399932e-05,-0.30400854068098376,0.0014325309995796172,-9.806880980722177,0.13863135220938436,2.0
0.032,1.565775296460033,1.260545268154455e-05,-0.3138154582274794,0.0015756836009453593,-9.806910842759658,0.14771967373163453,2.0
0.033,1.565456577530104,1.42565475039419e-05,-0.32362240710105716,0.0017280688663753564,-9.806943666254288,0.1570965347167449,2.0
0.034,1.5651280516343717,1.6064764150095984e-05,-0.3334293903587741,0.0018899753393290112,-9.806979643464269,0.16676193864447023,2.0
